Title,Keywords,APIName,Description,Namespace,Guid,Type
ToposolidSlopeExceedsThreshold,BuiltInFailures.SiteFailures.ToposolidSlopeExceedsThreshold property,P:Autodesk.Revit.DB.BuiltInFailures.SiteFailures.ToposolidSlopeExceedsThreshold,Thickness of this Toposolid may be slightly inaccurate due to extreme Shape Editing. Dimensions to this element in sections and details may not accurately indicate the Thickness shown in Type Properties.,Autodesk.Revit.DB,0109bb6f-5cae-c271-989d-54be8b081669,property
AnalyticalSurfaceBase,"AnalyticalSurfaceBase class, properties",Properties.T:Autodesk.Revit.DB.Structure.AnalyticalSurfaceBase,,Autodesk.Revit.DB.Structure,01111e24-6322-9724-8670-3250e48e7a47,properties
MepUpperTopElevation,ParameterTypeId.MepUpperTopElevation property,P:Autodesk.Revit.DB.ParameterTypeId.MepUpperTopElevation,"""Upper End Top Elevation""",Autodesk.Revit.DB,0141ae8c-cc93-d6bd-56ac-1d560e0c20c4,property
OBJImportOptions,"OBJImportOptions class, about OBJImportOptions class",T:Autodesk.Revit.DB.OBJImportOptions,The import options used to import OBJ format files.,Autodesk.Revit.DB,030954c6-4fe3-9ec0-6be0-0019609769d0,class
AreDeletedElementIdsAvailable,DocumentDifference.AreDeletedElementIdsAvailable property,P:Autodesk.Revit.DB.DocumentDifference.AreDeletedElementIdsAvailable,Whether or the deleted elements were retrieved.,Autodesk.Revit.DB,03599d71-84de-97f3-8fcd-10a5d11a0910,property
CreateLessRule,,"M:Autodesk.Revit.DB.ParameterFilterRuleFactory.CreateLessRule(Autodesk.Revit.DB.ElementId,System.String)",Creates a filter rule that determines whether strings from the document are less than a certain value.,Autodesk.Revit.DB,038843e0-fdb9-36f4-00b3-776d107f70c1,
HighestAssociatedLevel,ParameterTypeId.HighestAssociatedLevel property,P:Autodesk.Revit.DB.ParameterTypeId.HighestAssociatedLevel,"""Highest Associated Level"": The highest level associated with this Analytical Element.",Autodesk.Revit.DB,039aa957-53cc-cd16-deea-8cb7d677c23a,property
FamilySelfOrienting,ParameterTypeId.FamilySelfOrienting property,P:Autodesk.Revit.DB.ParameterTypeId.FamilySelfOrienting,"""Align to View""",Autodesk.Revit.DB,04170127-33b4-e598-b0b1-4a8b45db22e6,property
MepSpotBottomElevation,ParameterTypeId.MepSpotBottomElevation property,P:Autodesk.Revit.DB.ParameterTypeId.MepSpotBottomElevation,"""Spot Bottom Elevation"": used for both design and fabrication components",Autodesk.Revit.DB,0433bae3-31ca-9f54-f498-2f8bbd4993a4,property
IfcExportPredefinedtypeType,ParameterTypeId.IfcExportPredefinedtypeType property,P:Autodesk.Revit.DB.ParameterTypeId.IfcExportPredefinedtypeType,"""Type IFC Predefined Type""",Autodesk.Revit.DB,049c78eb-54a9-2c22-9e37-87dbb4a2e865,property
ViewSolarstudySunIntensityValue,ParameterTypeId.ViewSolarstudySunIntensityValue property,P:Autodesk.Revit.DB.ParameterTypeId.ViewSolarstudySunIntensityValue,"""Sun intensity""",Autodesk.Revit.DB,04dbce7d-53be-8d3e-ece8-d91f465646dd,property
SetTessellationSettings,,M:Autodesk.Revit.DB.STLExportOptions.SetTessellationSettings(Autodesk.Revit.DB.ExportResolution),Sets all the tessellation parameters to its predefined values for the given resolution type.,Autodesk.Revit.DB,05429687-e49f-97c7-946c-d176bb6f7123,
NewCouplerTypeCreated,BuiltInFailures.RebarCouplerFailures.NewCouplerTypeCreated property,P:Autodesk.Revit.DB.BuiltInFailures.RebarCouplerFailures.NewCouplerTypeCreated,A new coupler type was automatically created to fit the bar diameters.,Autodesk.Revit.DB,05633cfb-accb-a9fe-15f2-b59bc6990876,property
GetElectricalLoadAreas,AreaBasedLoadData.GetElectricalLoadAreas method,M:Autodesk.Revit.DB.Electrical.AreaBasedLoadData.GetElectricalLoadAreas,Gets electrical load areas which the area based load includes.,Autodesk.Revit.DB.Electrical,05745395-b4f0-44ec-8732-93a4147b60b0,method
ShowViewPlacementOnSheetStatusIcons,ProjectBrowserOptions.ShowViewPlacementOnSheetStatusIcons property,P:Autodesk.Revit.UI.ProjectBrowserOptions.ShowViewPlacementOnSheetStatusIcons,Show the icons indicating view placement on sheet status.,Autodesk.Revit.UI,0591509c-0ab6-9164-27e1-297852c4a6da,property
ProjectBrowserOptions,"ProjectBrowserOptions class, methods",Methods.T:Autodesk.Revit.UI.ProjectBrowserOptions,,Autodesk.Revit.UI,05c3453a-f839-7a94-e3b1-8db48d2a0f05,methods
RemoveAssociation,AnalyticalToPhysicalAssociationManager.RemoveAssociation method,M:Autodesk.Revit.DB.Structure.AnalyticalToPhysicalAssociationManager.RemoveAssociation(Autodesk.Revit.DB.ElementId),This method will remove the association for the element with the given ElementId.,Autodesk.Revit.DB.Structure,05d00613-cf7f-ea84-61a4-b6ce4805dafd,method
AnalyticalEquipmentLoadData,"AnalyticalEquipmentLoadData class, properties",Properties.T:Autodesk.Revit.DB.Electrical.AnalyticalEquipmentLoadData,,Autodesk.Revit.DB.Electrical,05ef96a9-318a-08b5-2e34-593c00cb5d1a,properties
OBJExportOptions,"OBJExportOptions class, methods",Methods.T:Autodesk.Revit.DB.OBJExportOptions,,Autodesk.Revit.DB,065d5c83-453a-31b8-97d5-28e0660a0b31,methods
AnalyticalToPhysicalAssociationManager,"AnalyticalToPhysicalAssociationManager class, properties",Properties.T:Autodesk.Revit.DB.Structure.AnalyticalToPhysicalAssociationManager,,Autodesk.Revit.DB.Structure,067d6491-25b5-680a-1e66-52437879474b,properties
DeleteWorksetSettings,"DeleteWorksetSettings class, methods",Methods.T:Autodesk.Revit.DB.DeleteWorksetSettings,,Autodesk.Revit.DB,06c26827-4f1e-ea2c-c4ec-86a45e9a6507,methods
GetChangedElements,Document.GetChangedElements method,M:Autodesk.Revit.DB.Document.GetChangedElements(System.Guid),"Extracts a collection containing the ids of elements that have been created, modified or deleted between the input baseVersion and the document's current version.",Autodesk.Revit.DB,0799eb9e-5ce8-2668-eb3d-aecfd121b2d6,method
Fx,ReleaseConditions.Fx property,P:Autodesk.Revit.DB.Structure.ReleaseConditions.Fx,Gets or Sets the Fx of the release type.,Autodesk.Revit.DB.Structure,07dff6e5-ecc9-657e-5023-82a804a97427,property
AnalyticalNodeData,"AnalyticalNodeData class, methods",Methods.T:Autodesk.Revit.DB.Structure.AnalyticalNodeData,,Autodesk.Revit.DB.Structure,0807f47a-7b6f-4e0a-a868-7527675ae0b1,methods
FabricationPartExceededAngleFlexToleranceWarning,BuiltInFailures.MEPFabricationFailures.FabricationPartExceededAngleFlexToleranceWarning property,P:Autodesk.Revit.DB.BuiltInFailures.MEPFabricationFailures.FabricationPartExceededAngleFlexToleranceWarning,The angle flex is greater than the maximum angle flex tolerance defined by the fabrication part. Connections with this part may not be properly aligned and may appear to be skewed.,Autodesk.Revit.DB,081d9e72-73d3-5853-81d0-da1427bd9b1d,property
DeleteWorksetOption,DeleteWorksetSettings.DeleteWorksetOption property,P:Autodesk.Revit.DB.DeleteWorksetSettings.DeleteWorksetOption,The current delete workset option.,Autodesk.Revit.DB,087c5fa5-6b5d-19a6-e3bb-6ede5e7bbe22,property
